id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,return_on_capital_employed_pct,return_on_assets_pct,net_debt_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score,high_leverage_flag,icr_label,pe_ratio,pb_ratio,dividend_yield_pct,id_y,company_name
78,ADANIPORTS,Mar 2024,30.339560480700833,58.36172363445772,15.3548827162833,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,15.902511540568032,6.926554927819896,,2.1163033183474456,6.405857760026268,,6.332107923547037,12.565336548453221,,,,,,,,48.9,2.31,1.16,ADANIPORTS,Adani Ports & Special Economic Zone Ltd
90,ADANIPOWER,Mar 2024,41.36759945184802,36.20186292228556,48.27674122146251,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616,14170.0,36.15051246768946,22.638002804073516,,25.404365739546098,15.604252013165265,,37.200422780429236,,,,,,,,,44.57,9.91,1.65,ADANIPOWER,Adani Power Ltd
101,AMBUJACEM,Mar 2024,14.288299155609169,19.300361881785282,11.428984947896565,0.0169,28.2645,0.5081,-3295.0,8941.0,16.0,9.4218,12.0,699,5646.0,18.505515359981022,7.2600787606687,,4.284704216891733,3.9203012559892336,,1.4169951856237484,6.822316832014619,,,,,,,,55.62,9.21,3.1,AMBUJACEM,Ambuja Cements Ltd
113,APOLLOHOSP,Mar 2024,4.905818773282963,12.56099480560365,13.480392156862745,0.7689,5.5657,1.1384,383.0,1537.0,63.0,9.6333,26.0,5333,1920.0,20.368408183226016,5.5847568988173455,,11.761253418697425,12.722856633054324,,3.374610404402456,23.15712275705608,,,,,,,,47.72,7.68,3.22,APOLLOHOSP,Apollo Hospitals Chain of Indian private hospitals
137,ASIANPAINT,Mar 2024,15.658543456824905,21.3692069305536,29.677488252883382,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0,39.64720309404773,18.588007090063876,,6.174284608187852,11.500195340146258,,14.500277056849864,10.793342537824358,,,,,,,,73.37,3.9,2.42,ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company
161,BAJAJ-AUTO,Mar 2024,17.178515712057056,19.534209939826162,26.61418410330778,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0,33.895834682904706,19.59129727531517,,13.840539504480965,10.324598871283875,,6.130684094473193,7.177692065422758,,,,,,,,29.91,9.83,3.59,BAJAJ-AUTO,Bajaj Auto Ltd
173,AXISBANK,Mar 2024,22.73130411725443,34.69264599658038,15.832712405189048,8.2491,1.6912,0.072,-14556.0,9001.0,81.0,25.4494,1.0,1295302,-5555.0,2.6133269068562477,1.6374892227113123,,21.436530462623615,14.011465463032579,,26.531486069114642,74.58109013780603,,,,,,,,38.14,4.66,2.32,AXISBANK,Axis Bank Ltd
185,BAJAJFINSV,Mar 2024,14.128209309488865,37.04045949520755,25.850351412279537,4.7894,2.1971,0.2054,-79634.0,10960.0,51.0,37.9421,2.0,288933,-68674.0,11.705286304511525,2.9018542467180857,,22.666875303773292,18.362386463946436,,25.718736496821148,22.47816213749556,,,,,,,,15.07,6.08,2.56,BAJAJFINSV,Bajaj Finserv Ltd
197,BAJAJHLDNG,Mar 2024,432.7262044653349,91.7743830787309,13.576787656460265,0.0012,3764.5,0.0261,1469.0,472.0,653.0,48.8712,20.0,63,1941.0,13.8630086540232,11.302773131167417,,52.98578067687283,31.844452516640875,,21.96639845113404,19.43725712253208,,,,,,,,37.73,9.38,3.37,BAJAJHLDNG,Bajaj Holdings & Investment Ltd
219,BANKBARODA,Mar 2024,15.93948250956673,37.4889127294537,15.761863790899902,12.1437,1.8967,0.0715,-7559.0,1285.0,36.0,11.5553,21.0,1453761,-6274.0,2.820637646379921,1.1402758683204666,,19.153319343554664,9.490200436469841,,36.42776134859513,83.01864727574007,,,,,,,,16.89,4.15,2.62,BANKBARODA,Bank of Baroda
231,BHARTIARTL,Mar 2024,5.706018055499993,52.20093077836007,10.35839213740181,2.6095,3.3055,0.3393,27809.0,51089.0,13.0,2.8717,62.0,215592,78898.0,25.104372407456466,1.9361158683224027,,10.083597942686229,12.174327059539225,,18.489780764374487,,,,,,,,,63.78,6.28,1.02,BHARTIARTL,Bharti Airtel Ltd
267,BOSCHLTD,Mar 2024,14.886112273569676,12.524660728164047,20.639920424403183,0.0032,71.7843,0.9638,1536.0,283.0,844.0,40.2133,44.0,39,1253.0,30.2486986697513,14.34745030250648,,13.330908088299331,11.747072046217323,,19.63797277977788,26.239966784649837,,,,,,,,58.43,6.47,4.23,BOSCHLTD,Bosch Ltd
279,BPCL,Mar 2024,5.994201967046283,9.837909494446341,35.511337343822305,0.7219,11.3555,2.2137,25415.0,10521.0,62.0,3.541,33.0,54599,35936.0,36.17642090391142,13.26907686075349,,8.715828428357518,9.38324373395365,,5.542314468750331,30.232961485317666,,,,,,,,68.15,0.72,1.15,BPCL,Bharat Petroleum Corporation Ltd
291,BRITANNIA,Mar 2024,12.725863199952292,18.886039716142882,54.14869322506978,0.524,20.5976,1.8484,3050.0,477.0,89.0,16.4208,83.0,2065,2573.0,56.24375624375625,23.522927689594354,,6.849007529677054,8.252018974423404,,11.98473330401364,8.838507464201339,,,,,,,,63.91,4.26,1.88,BRITANNIA,Britannia Industries Ltd
303,CANBK,Mar 2024,13.935160470145405,41.753906568101414,16.716051794688113,14.8674,1.6107,0.072,13296.0,1750.0,17.0,5.079,19.0,1369780,15046.0,3.1560701628619485,1.0033107103630055,,19.13191913803416,19.129883399351133,,39.092275125444175,,,,,,,,,36.74,12.61,3.81,CANBK,Canara Bank
315,CHOLAFIN,Mar 2024,17.846892448990243,28.10102802275218,17.455213596692694,6.8634,21.2118,0.1223,-38538.0,2855.0,41.0,11.6625,5.0,134475,-35683.0,3.5107874445050236,2.1827093677801463,,30.400789439576048,20.898427109814133,,21.37992360923091,29.589296885977046,,,,,,,,16.79,10.36,2.83,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd
339,COALINDIA,Mar 2024,26.25628846856468,66.29380849329698,45.16982956605826,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523,18103.0,105.75106719101879,15.802850255846407,,8.549070600507648,7.870394800036373,,25.499592648582038,15.515976588488002,,,,,,,,34.27,14.75,4.38,COALINDIA,Coal India Ltd
351,DABUR,Mar 2024,14.600128990648178,19.348597226701063,18.355969997972835,0.1384,23.2419,0.8206,1042.0,971.0,10.0,5.574,53.0,1365,2013.0,25.66111655239961,11.980682720296375,,4.558392390902011,7.463003199995866,,0.34325211945160916,3.9797625151324123,,,,,,,,50.95,13.59,3.42,DABUR,Dabur India Ltd
363,DIVISLAB,Mar 2024,20.395156150414277,28.170809432759718,11.78984599513669,0.0002,636.25,0.5074,992.0,269.0,60.0,25.6057,50.0,3,1261.0,18.7490791218506,10.34928848641656,,-1.3041361575565125,9.814271556061938,,-14.71742164604024,5.922384104881218,,,,,,,,69.95,12.34,1.39,DIVISLAB,Divis Laboratories Ltd
387,DMART,Mar 2024,4.993207190533383,8.084427730414067,13.56294790886726,0.0317,73.2931,2.3989,278.0,2468.0,39.0,2.8722,0.0,592,2746.0,22.037325038880248,11.978084262233137,,22.693944373146003,18.130974638266984,,22.16121972317524,15.893297905162695,,,,,,,,72.53,11.71,1.94,DMART,Avenue Supermarts Ltd
411,EICHERMOT,Mar 2024,24.195694242864054,26.179245283018872,22.172346910501524,0.0232,114.7059,0.7154,890.0,2834.0,146.0,66.8333,35.0,419,3724.0,31.683275563258235,17.309106640709494,,18.396317744522527,13.300366111539773,,36.53074165448827,18.49422168054984,,,,,,,,15.62,13.61,4.41,EICHERMOT,Eicher Motors Ltd
455,HAL,Mar 2024,24.999177117277245,32.08913465652875,3816.5829145728644,0.6181,270.8837,67.5133,1814.0,6412.0,114.0,3.98,31.0,123,8226.0,3617.391304347826,1687.7777777777776,,8.162136117222051,7.755030209729474,,18.541348605023277,24.414894234698316,,,,,,,,71.89,3.65,2.77,HAL,Hindustan Aeronautics Ltd
467,HAVELLS,Mar 2024,6.837009144701453,10.118343195266272,17.067275412917954,0.0407,25.3571,1.4952,335.0,1618.0,20.0,11.8206,44.0,303,1953.0,27.483870967741936,10.222794176787582,,14.050104932715968,16.977707708753577,,5.389890191388624,13.754383035188301,,,,,,,,45.41,14.08,2.6,HAVELLS,Havells India Ltd
478,HCLTECH,Mar 2024,14.293122742532729,22.015594151738192,23.01393141233172,0.0844,46.4611,1.1102,15840.0,6608.0,58.0,12.5715,90.0,5758,22448.0,34.71042001594142,15.867725188372422,,10.418624777318675,10.285266116844438,,8.105380995366618,9.092660866257706,,,,,,,,63.63,5.44,1.99,HCLTECH,HCL Technologies Ltd
490,HDFCBANK,Mar 2024,23.07288232992184,61.41252040373843,14.33974005030719,6.8088,1.4008,0.0704,35669.0,16600.0,84.0,60.0521,23.0,3107503,19069.0,4.887343889375092,1.6238920508541275,,34.2652064139112,21.909785037911522,,23.674334270421248,21.464434358132078,,,,,,,,49.42,4.4,4.33,HDFCBANK,HDFC Bank Ltd
502,HDFCLIFE,Mar 2024,1.5510139729213062,99.47675449833469,10.732306013909723,0.0648,192.2895,0.3353,-2893.0,13614.0,7.0,0.6818,27.0,950,10721.0,646.4651639344262,0.5200091183301563,,14.50286932794973,27.955104934189514,,9.599185683222423,6.13792325874003,,,,,,,,50.59,11.28,3.22,HDFCLIFE,HDFC Life Insurance Company Ltd
513,HEROMOTOCO,Mar 2024,9.902352536452407,86.14676228532112,21.14243742584327,0.0342,47.2685,1.4449,3095.0,1828.0,187.0,44.2475,75.0,606,4923.0,177.91860147500682,14.308109968263679,,10.709148343723452,6.50929030402021,,21.068725964199885,2.4661926006282364,,,,,,,,53.86,12.6,1.91,HEROMOTOCO,Hero MotoCorp Ltd
537,HINDUNILVR,Mar 2024,16.611735814915342,76.31672482874498,20.074973642078955,0.029,57.847,0.7886,10145.0,5324.0,44.0,21.7949,96.0,1484,15469.0,89.67591362756632,13.099924830230988,,6.111303676269997,9.511558178059044,,6.552564038625031,9.748932723060143,,,,,,,,34.51,11.88,4.32,HINDUNILVR,Hindustan Unilever Ltd
549,ICICIBANK,Mar 2024,28.888011233982798,62.41380175029464,17.99027109750765,6.4456,1.3009,0.0675,12547.0,144737.0,63.0,18.2309,16.0,1651008,157284.0,5.219877597590544,1.9492289334082888,,23.69150849612083,16.306488270588183,,25.46768800927537,36.09917894535517,,,,,,,,25.76,6.2,3.43,ICICIBANK,ICICI Bank Ltd
561,ICICIGI,Mar 2024,9.366915605017816,87.42129155073948,15.7230643179025,0.0029,160.0268,0.3236,486.0,1921.0,39.0,2.4757,28.0,35,2407.0,146.4297385620915,3.0312124849939974,,13.287799327544715,15.134913391142524,,25.59433721204918,16.094134940382943,,,,,,,,49.0,7.86,3.46,ICICIGI,ICICI Lombard General Insurance Company Ltd
585,INDUSINDBK,Mar 2024,19.56369677362945,38.55469091544986,14.252273197764223,6.8857,1.8795,0.0888,-17468.0,625.0,115.0,8.0716,14.0,432404,-16843.0,3.563199589661572,1.7380834474254032,,16.714166170476787,11.229271985817002,,20.769134611252028,12.950317155835522,,,,,,,,8.99,3.7,1.42,INDUSINDBK,IndusInd Bank Ltd
597,INFY,Mar 2024,17.08075746730006,23.703390381987376,29.788006718416632,0.0949,87.5234,1.1298,20117.0,5093.0,63.0,4.2548,,8359,25210.0,42.63902565431459,19.297162182032054,,9.56431870094654,11.997653045197954,,7.727571179894599,10.720932755973521,,,,,,,,35.99,8.97,4.1,INFY,Infosys Ltd
609,IOC,Mar 2024,5.559462717942377,9.743776019125345,23.53162465856491,0.7231,10.2823,1.6084,39635.0,31464.0,30.0,1.3318,40.0,132628,71099.0,25.640336028097266,8.941893540895371,,8.91887457232663,9.497887556591266,,-24.872558599871585,,,,,,,,,28.61,4.24,1.25,IOC,Indian Oil Corporation
619,IRCTC,Mar 2024,26.01873536299766,34.33255269320843,34.39628482972136,0.0186,82.7368,0.701,667.0,215.0,14.0,2.0187,47.0,60,882.0,47.78115501519757,18.240026268264653,,33.344050347841005,14.497039424389602,,22.052244447028492,18.525767489903288,,,,,,,,60.44,5.74,1.08,IRCTC,Indian Railway Catering & Tourism Corporation Ltd
628,IRFC,Mar 2024,24.064552448864703,99.50459748545694,13.038085361638096,8.3784,1.3195,0.0549,7906.0,8.0,5.0,0.3763,31.0,412039,7914.0,5.750642863027896,1.3218383695952436,,9.842390258673216,14.921143419598092,,2.389101228377455,15.41522975695413,,,,,,,,9.81,3.91,2.82,IRFC,Indian Railway Finance Corporation Ltd
640,ITC,Mar 2024,29.282025230717128,37.0177518132814,27.851074395694365,0.0041,362.9625,0.7723,18742.0,1563.0,16.0,5.9701,84.0,303,17179.0,38.814329635075524,22.61590775334045,,7.4028395308906925,8.753732274187742,,10.344550783437324,5.961414761036021,,,,,,,,47.85,3.24,4.26,ITC,ITC Ltd
652,JINDALSTEL,Mar 2024,11.802438733764944,20.260555268697622,13.410506363390198,0.3717,8.0046,0.64,-2336.0,8344.0,58.0,44.316,3.0,16472,6008.0,17.039547279068238,7.553764807565204,,-0.7528952936395439,5.693058076567659,,-9.230590992786015,,,,,,,,,77.64,5.73,1.9,JINDALSTEL,Jindal Steel & Power Ltd
678,JSWSTEEL,Mar 2024,5.127252779904689,16.089162657280323,11.5528718021347,1.1328,3.6591,0.7679,-2389.0,14467.0,36.0,25.4652,25.0,87984,12078.0,17.903086572534153,3.937287733986257,,5.171426891463637,18.35267241374161,,-45.918128630424306,-3.309676575882059,,,,,,,,69.27,4.37,2.94,JSWSTEEL,JSW Steel Ltd
690,KOTAKBANK,Mar 2024,32.386151466116615,83.66733645109092,14.013018188532914,4.0037,1.2364,0.0733,6766.0,8919.0,92.0,13.0757,2.0,520374,15685.0,7.231227684955393,2.372513081844081,,23.82086733136328,13.858739801936327,,23.061896789736114,21.261594890777413,,,,,,,,32.9,1.15,1.51,KOTAKBANK,Kotak Mahindra Bank Ltd
696,LICI,Mar 2024,4.836600998148862,3.87474201090824,49.44710986501021,0.0,371.9375,0.1591,853.0,25269.0,66.0,1.3083,15.0,0,26122.0,57.534412123702374,0.7696696436280568,,7.387172764299543,7.36778684360031,,115.82233107230371,72.56342811464233,,,,,,,,30.67,8.1,3.77,LICI,Life Insurance Corporation of India
717,LT,Mar 2024,7.031246466738726,13.506668535997433,77.66510140873214,0.1035,3.5442,8.0276,20445.0,2179.0,95.0,66.7267,36.0,2071,18266.0,152.61895060890035,56.44423467905896,,15.133842244269191,10.431350221581015,,15.730766506359073,8.19246886230558,,,,,,,,30.8,2.48,1.26,LT,Larsen & Toubro Ltd
729,LTIM,Mar 2024,12.90931103415266,17.982937748120616,22.904386052552702,0.1035,31.9324,1.2895,1752.0,3918.0,155.0,66.7267,42.0,2071,5670.0,32.09289691701752,16.64609352309033,,12.453852441789937,27.827664798052343,,5.010571378400597,24.649492447050548,,,,,,,,64.52,2.38,4.43,LTIM,LTIMindtree Ltd
741,M&M,Mar 2024,8.82238743726542,17.89787025985418,18.537543435564285,1.6414,3.7647,0.5925,-11245.0,5615.0,91.0,11.8833,21.0,108647,-5630.0,16.123589400412953,5.227460570376871,,17.39669110726323,14.117791908937205,,21.499757764096227,,,,,,,,,14.22,0.81,2.37,M&M,Mahindra & Mahindra Ltd
753,MARUTI,Mar 2024,9.50809964894472,13.130031439890594,15.750385351954785,0.0014,117.9072,1.2303,4936.0,11865.0,429.0,54.5452,29.0,119,16801.0,26.67366334324529,11.697772843960314,,18.022757073173622,13.927307119657995,,53.455486798535404,19.816525134985817,,,,,,,,20.78,8.26,1.78,MARUTI,Maruti Suzuki India Ltd
765,MOTHERSON,Mar 2024,3.0600251286831757,9.445547764763102,11.546549416937488,0.7617,5.2247,1.1724,925.0,6644.0,4.0,3.8577,20.0,19922,7569.0,20.535191093170127,3.58763572429851,,19.70181463075662,12.488971510861301,,51.657986620033334,26.082790358764175,,,,,,,,9.54,2.38,2.18,MOTHERSON,Samvardhana Motherson International Ltd
789,NESTLEIND,Mar 2024,16.12281708616873,23.829630236943512,117.75449101796407,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345,4175.0,162.06241519674356,37.37527321106148,,5.402149309377879,8.187067192727703,,11.596418032989032,9.80191720693384,,,,,,,,54.96,14.34,3.85,NESTLEIND,Nestle India Ltd
801,NHPC,Mar 2024,41.81893687707641,49.90656146179402,10.407730866621879,0.8413,11.2434,0.1032,970.0,5968.0,4.0,0.3853,53.0,32561,6938.0,9.592635729621263,4.317394985905228,,1.9520242819681455,-0.6437260940230005,,-3.258156054611683,0.42683394328184576,,,,,,,,71.17,13.74,1.68,NHPC,NHPC Ltd
825,ONGC,Mar 2024,9.655290194725701,17.388518015001793,16.940398136885513,0.4544,11.3613,0.8332,42060.0,57203.0,39.0,5.3588,31.0,153181,99263.0,23.62402116466871,8.044955154739396,,10.271062741443583,10.672105140004406,,-4.957642697348219,29.86811317565097,,,,,,,,18.15,10.36,1.11,ONGC,Oil & Natural Gas Corpn Ltd
849,PIDILITIND,Mar 2024,14.108051360736493,21.868690947266415,20.780302129178065,0.0454,54.3333,1.0254,955.0,1769.0,34.0,16.4843,47.0,382,2724.0,31.52804642166344,14.466710831401125,,9.14972399826146,12.080877705351023,,17.79854829031404,11.950708302202218,,,,,,,,36.12,12.3,1.01,PIDILITIND,Pidilite Industries Ltd
909,PNB,Mar 2024,8.395910695456838,,61.320565191187306,3.6843,,1.507,-29445.0,1506.0,8.0,5.7435,18.0,55017,-27939.0,20.240171551107935,12.652858189053626,,15.0566510439341,16.156348438495094,,54.93641174391142,97.39432352874067,,,,,,,,19.29,10.91,1.32,PNB,Punjab National Bank
933,POWERGRID,Mar 2024,33.97028990249329,86.87476823070044,17.870011245496066,1.4173,4.603,0.1828,24176.0,13114.0,17.0,0.937,67.0,123516,37290.0,19.16909551793869,6.208612241806171,,3.2489005428976148,3.950424143694753,,-2.253607736704233,7.276136071252526,,,,,,,,64.39,5.1,3.09,POWERGRID,Power Grid Corporation of India Ltd
945,RECLTD,Mar 2024,29.7682934528695,100.7702506471368,20.39653929343908,6.4249,1.6005,0.0867,-59554.0,1831.0,54.0,2.6339,30.0,445568,-57723.0,9.308472416967362,2.5803050396668312,,9.44566056896241,11.452141372089365,,14.041449525824202,24.521270680603035,,,,,,,,31.49,4.59,2.18,RECLTD,REC Ltd
969,SBILIFE,Mar 2024,1.4349789374791648,0.18638058005273206,12.704588140595655,0.0,240.3333,0.3314,-2099.0,31221.0,19.0,1.4893,14.0,0,29122.0,14.508988462570432,0.4755221579767963,,16.16251560783233,24.321595630531156,,16.98335689614381,11.137218389537985,,,,,,,,69.98,9.48,1.62,SBILIFE,SBI Life Insurance Company Ltd
992,SHRIRAMFIN,Mar 2024,20.333626470264925,28.918874354182698,15.116350338120824,3.994,0.6767,0.1466,-31359.0,258.0,39.0,13.0178,23.0,195496,-31101.0,4.315116407506045,2.9802711607711085,,27.451744344047313,19.206205335791736,,51.45920935446819,30.35244830382684,,,,,,,,68.53,7.91,1.86,SHRIRAMFIN,Shriram Finance Ltd
1016,SUNPHARMA,Mar 2024,19.815658700538176,26.84289749881436,15.094161810671148,0.0514,58.3319,0.5685,11372.0,763.0,40.0,26.5279,34.0,3274,12135.0,20.739158363334877,11.2650630655976,,9.1811178824587,8.906066095856712,,48.583988555848556,21.654635315966033,,,,,,,,37.9,6.71,3.88,SUNPHARMA,Sun Pharmaceuticals Industries Ltd
1040,TATAMOTORS,Mar 2024,7.263066074788551,13.595385542828959,37.45613415294755,1.2631,6.5302,1.1851,45133.0,22782.0,94.0,11.0859,7.0,107262,67915.0,33.93225101467374,8.607629877598297,,16.480476913478537,11.0073787983753,,,,,,,,,,,67.07,0.93,3.65,TATAMOTORS,Tata Motors Ltd
1076,TCS,Mar 2024,19.136712150207767,26.690688396923118,50.944313673485176,0.0886,87.0951,1.6559,50429.0,6091.0,127.0,24.997,58.0,8021,44338.0,68.78489493452442,31.689259788825343,,9.546658437139888,9.940233894803097,,8.422995622758279,8.596278191513962,,,,,,,,78.69,6.08,1.62,TCS,Tata Consultancy Services Ltd
1112,TITAN,Mar 2024,6.843630099444054,10.359408033826638,37.2192057915469,1.6531,9.412,1.6193,1506.0,189.0,39.0,10.5539,28.0,15528,1695.0,23.377874082099435,11.081877833074461,,23.659672863103577,20.935461221328566,,13.843023173786385,16.782408599063526,,,,,,,,10.13,10.51,3.1,TITAN,Titan Company Ltd
1124,TORNTPHARM,Mar 2024,15.436241610738255,31.3944817300522,24.154025670945156,0.5866,9.9266,0.7396,3106.0,160.0,49.0,4.0568,57.0,4022,3266.0,32.3037323037323,11.416752843846949,,9.928239780547177,7.31931703095825,,33.81954614442411,12.681121873899004,,,,,,,,46.4,6.43,1.22,TORNTPHARM,Torrent Pharmaceuticals Ltd
1136,TRENT,Mar 2024,11.935353535353535,15.927272727272726,36.30776794493609,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0,50.85036935234496,20.622731080703712,,49.48525037772824,33.93602929650476,,272.4976245019792,76.37074131332167,,,,,,,,8.65,11.82,3.46,TRENT,Trent Ltd
1148,TVSMOTOR,Mar 2024,4.544641716694342,14.050325712096054,26.223466981132077,3.8334,2.9077,0.9315,-2254.0,1001.0,36.0,14.1333,23.0,26006,-1253.0,17.0966758157975,4.233295259851514,,20.75611595943485,17.870586734892147,,42.021174575734754,26.477851435808077,,,,,,,,46.1,5.62,3.07,TVSMOTOR,TVS Motor Company Ltd
1184,INDIGO,Mar 2024,11.852722628584697,76.29890862649484,892.568306010929,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17,21183.0,5643.454935622318,668.3306055646481,,43.40643284900623,16.42205132955572,,,,,,,,,,,76.23,7.87,4.27,INDIGO,Interglobe Aviation Ltd
1004,SIEMENS,Sep 2024,12.221223021582734,13.956834532374101,17.698769290877124,0.0182,67.15,0.8791,1168.0,502.0,76.0,21.6296,16.0,279,1670.0,25.76745970836531,10.743507648523657,,18.998700727442852,11.193358902067896,,35.646062247422265,19.85339817550189,,,,,,,,33.32,9.25,3.69,SIEMENS,Siemens Ltd
